FILM_FLAG,CATEGORY,NOMINEE,PERSON_FLAG,RELATED_FILM_SHOW,TWITTER_SCREEN_NAME,MOVIE_RELEASE_DATE,OFFICIAL_MOVIE_HASTAG,ACTOR_BIRTHDATE,ACTOR_AGE,WINNER_FLAG,GENDER_FLAG,NOMINEE_FLAG
0,Best Actress in a TV Series – Drama,Taraji P. Henson,1,Empire,TherealTaraji,,,9/11/1970,45,W,F,1
0,Best Actress in a TV Series – Drama,Robin Wright,1,House of Cards,realrobinwright,,,4/8/1966,49,L,F,1
0,Best Actress in a TV Series – Drama,Eva Green,1,Penny Dreadful,,,,,,L,F,1
1,Best Animated Feature Film,Inside Out,0,Inside Out,PixarInsideOut,6/19/2015,InsideOut,,,W,,1
1,Best Animated Feature Film,Shaun the Sheep Movie,0,Shaun the Sheep Movie,shaunthesheep,8/5/2015,ShauntheSheepMovie,,,L,,1
1,Best Animated Feature Film,The Peanuts Movie,0,The Peanuts Movie,PeanutsMovie,11/6/2015,PeanutsMovie,,,L,,1
1,Best Animated Feature Film,The Good Dinosaur,0,The Good Dinosaur,TheGoodDinosaur,11/25/2015,GoodDino,,,L,,1
1,Best Animated Feature Film,Anomalisa,0,Anomalisa,Anomalisamovie,12/30/2015,Anomalisa,,,L,,1
1,Best Director – Motion Picture,Todd Haynes,1,Carol,,11/20/2015,CarolMovie,1/2/1961,55,L,M,1
1,Best Director – Motion Picture,Alejandro G. Iñárritu,1,The Revenant,,12/25/2015,TheRevenant,8/15/1963,52,W,M,1
1,Best Director – Motion Picture,Tom McCarthy,1,Spotlight,,11/6/2015,SpotlightMovie,7/5/1968,47,L,M,1
1,Best Director – Motion Picture,George Miller,1,Mad Max: Fury Road,,5/15/2015,MadMax,3/3/1945,70,L,M,1
1,Best Director – Motion Picture,Ridley Scott,1,The Martian,,10/2/2015,TheMartian,11/30/1937,78,L,M,1
1,Best Motion Picture – Comedy or Musical,Spy,0,Spy,SpyTheMovieUK,5/23/2015,SpyMovie,,,L,,1
1,Best Motion Picture – Comedy or Musical,Spy,0,Spy,SpyTheMovie,6/5/2015,SpyMovie,,,L,,1
1,Best Motion Picture – Comedy or Musical,Trainwreck,0,Trainwreck,TrainwreckMovie,7/17/2015,Trainwreck,,,L,,1
1,Best Motion Picture – Comedy or Musical,The Martian,0,The Martian,MartianMovie,10/2/2015,TheMartian,,,W,,1
1,Best Motion Picture – Comedy or Musical,The Big Short,0,The Big Short,thebigshort,12/11/2015,TheBigShort,,,L,,1
1,Best Motion Picture – Comedy or Musical,Joy,0,Joy,JoyTheMovie,12/25/2015,JoyMovie,,,L,,1
1,Best Motion Picture – Drama,Mad Max: Fury Road,0,Mad Max: Fury Road,MadMaxMovieUK,5/15/2015,MadMax,,,L,,1
1,Best Motion Picture – Drama,Room,0,Room,RoomTheMovie,9/4/2015,RoomMovie,,,L,,1
1,Best Motion Picture – Drama,Spotlight,0,Spotlight,SpotlightMovie,11/6/2015,SpotlightMovie,,,L,,1
1,Best Motion Picture – Drama,Carol,0,Carol,CarolMovie,11/20/2015,CarolMovie,,,L,,1
1,Best Motion Picture – Drama,The Revenant,0,The Revenant,RevenantMovie,12/25/2015,TheRevenant,,,W,,1
1,Best Motion Picture – Foreign Language,The Brand New Testament,0,The Brand New Testament,,5/17/2015,,,,L,,1
