,Spotlight
237,Mark Ruffalo on Spotlight: ‘The whole of Boston was complicit. Everybody looked the other way’ https://t.co/GGg5GPhciD
238,Bookies expect Spotlight to beat The Revenant to best picture Oscar https://t.co/D2sKOmjEo5
239,Spotlight: meet the reporters who told the story nobody wanted to hear https://t.co/a3jhlzUNXC
240,Spotlight named film of the year by San Francisco critics https://t.co/qfANpF1ThD
241,Spotlight film team launches investigative journalism fellowship https://t.co/X6duw5BxXE
242,Spotlight leads Oscars race with raft of critics' awards https://t.co/hBuwe9hCys
243,"Spotlight wins big at Gotham awards, but surprise victors in acting categories https://t.co/tqmctlHo58"
244,Spotlight review – Catholic church child abuse film decently tells an awful story http://t.co/b9KZdrKy66 http://t.co/i4GOcmrB85
245,RT @picturehouses: Happy new film day! #Youth and #Spotlight are in cinemas now. https://t.co/SXZJOuk9UV
246,Well @MarkRuffalo your new film @SpotlightMovie is incredible. Massive congrats to one and all.
247,Here's my review of this week's best new film: investigative journalism thriller Spotlight. https://t.co/QqQHsNhFeJ https://t.co/daF71FY5MV
248,"@NickyRR Well, one of those three can...! But if it's any of them (or Spotlight), reckon people will be chuffed."
249,"@E_Film_Blog Actually, Spotlight's a really good shout. It's around, it's great, it's accessible, and almost nobody's seen it yet."
250,"@fitbafan On the up-side, Spotlight is 😘👌"
251,Thomas McCarthy shoos away the spirit of The Cobbler with masterful hack procedural Spotlight. My review: http://t.co/QqQHsNhFeJ #Venezia72
252,"RT @SAGawards: Congrats, @SpotlightMovie! #sagawards🎭 https://t.co/lzU0o4MmtI"
253,.@SpotlightMovie wins the #SAGAward for Outstanding Cast in a Motion Picture! #sagawards https://t.co/DyXyZ40r7Q
254,"#Spotlight wins top #CriticsChoice prize, next stop #Oscar? https://t.co/04uKASVdbY https://t.co/5ypwLJj2bo"
255,The #CriticsChoice for Best Picture is ... @SpotlightMovie! 🏆 https://t.co/HOX0VFsfl4
256,"#TheMartian, #Spotlight, and #Sicario were among the #WGA Awards screenplay nominations: https://t.co/HEkVkF9anE https://t.co/tJxpiZk2Gj"
257,"#Oscar predictions: #MadMax to lead with 5 wins &amp; 10 noms, #Spotlight for Best Picture https://t.co/9dAQglraCX https://t.co/g2tZC2At4J"
258,#AwardsSpotlight: Michael Shannon sells '99 Homes' https://t.co/QMD1IrnW2y https://t.co/Qft5mvka7y
259,‘Spotlight’ wins big with Boston Society of Film Critics: https://t.co/UzfxxYCcLq https://t.co/8FEB27VxrS
260,"'Carol,' 'Spotlight,' 'Beasts of No Nation' lead Spirit Awards Nominations https://t.co/pcmcZV83AO"
261,"Arthouse Audit: Oscar contenders ""Spotlight' and 'Brooklyn' rule https://t.co/RxbKxdCP6t"
262,#Spotlight opens strong in bid to break from pack of Oscar hopefuls https://t.co/G9RRK4ZWyX https://t.co/XY7CRLguqZ
263,"#TVSpotlight: Latest photos from ""The Walking Dead"" https://t.co/YwwTAQqZWo https://t.co/cXXV0KXzWe"
264,"Gotham Awards nominations boost #Oscar frontrunners 'Spotlight,' 'Carol' &amp; 'Room' https://t.co/p9mLSkYolj"
265,"Join us for a live Instagram Q&amp;A today at 4:30pm PT/7:30pm ET w/ @SpotlightMovie director, #TomMcCarthy! #IMDbAskTom http://t.co/RPn20QQlRy"
266,"#Oscar Predictions: After Fall Fests, ‘Spotlight,’ ‘Room’ Soar http://t.co/Sn7IzOYImK http://t.co/Og6EumZGQ8"
267,'Spotlight' review and video featurette on @moviescope https://t.co/VheF9NDDtG https://t.co/6OzvGdEKpB
268,"WATCH: Red carpet w/ @MarkRuffalo, Stanley Tucci, Tom McCarthy &amp; the real 'Spotlight' team https://t.co/985NKfp2N4 https://t.co/ywGULbqnG9"
269,Spotlight: Poland's state of the art Alvernia Studios http://t.co/YM49jOhj8z @AlverniaStudios
270,Google Spotlight Stories debuts trailer for #OnIce virtual reality short https://t.co/V0px0u8mlw https://t.co/2UpvtZMxz1
271,"RT @Variety_DMcNary: ""It was the first time I wasn't done with casting before I started shooting"" - Tom McCarthy on ""Spotlight"" #DGAawards"
272,Google Spotlight Stories debuts trailer for #OnIce virtual reality short https://t.co/V0px0u8mlw https://t.co/SPlP6CGhN4
273,"RT @Variety_DMcNary: ""We had a lot of Marty Baron's emails, which were very helpful"" - Josh Singer on ""Spotlight"" #beyondwords"
274,"More on the ""Spotlight"" process at @WGAWest Beyond Words event https://t.co/ZapMgmFTwj"
275,"RT @Variety_DMcNary: ""The story really came together once we talked with survivors"" - Tom McCarthy on ""Spotlight"" #beyondwords https://t.co…"
276,#SAGAwards win puts spotlight on #SpotlightMovie https://t.co/2bOi3S87sn https://t.co/uAb7SUXXIs
277,"SAG winners, including @violadavis and the cast of @SpotlightMovie, recall first acting jobs https://t.co/6CKZzU0QBc https://t.co/Iaj2dFW6ve"
278,"SAG winners, including @violadavis and the cast of @SpotlightMovie, recall first acting jobs https://t.co/6CKZzU0QBc https://t.co/wN3WRPSiPH"
279,"#SAGAwards: Night of ""diverse TV’"" ends with ""Spotlight"" victory https://t.co/lYqbcbdKyI https://t.co/FpFCvbbWU5"
280,"#SAGAwards: ""Spotlight"" wins best ensemble in a film https://t.co/UKKTj8qpGE https://t.co/fAt7vPIr1M"
281,Goteborg’s Nordic Film Market Spotlights Scandi Newcomers https://t.co/DKN8XjhwVC
282,"""Spotlight"" producer @OpenRoadFilms teams with Crystal City for financing https://t.co/QJEEAcSutW"
283,.@OpenRoadFilms' Peter Lawson to depart following #Spotlight success https://t.co/kzcYpgNDl7
284,Berlin Film Festival: Forum Section Puts Spotlight on Arab Countries https://t.co/afFhfxmQiV
285,‘Spotlight’ Wins Best Picture at Critics Choice Awards https://t.co/H9BSolAWRg https://t.co/bD0pf5ijSm
286,"RT @kristapley: ‘Spotlight’ Wins Top Critics’ Choice Prize, Next Stop Oscar? https://t.co/Mcb31vGco6 via @Variety https://t.co/VDIY5t9arJ"
287,‘Spotlight’ Wins Best Picture at Critics Choice Awards https://t.co/H9BSolAWRg https://t.co/xhn5XffWPW
288,‘Spotlight’ Wins Best Picture at Critics Choice Awards https://t.co/H9BSolAWRg
289,"""Spotlight"" wins original screenplay #CriticsChoice https://t.co/OMahcsashc"
290,"""Spotlight"" wins best acting ensemble #CriticsChoice https://t.co/OMahcsashc https://t.co/xgzgXvImiE"
291,"#OacarNoms: Best picture (continued)
“The Martian”
“The Revenant”
“Room”
“Spotlight”
https://t.co/m3bX7oI1Ni https://t.co/REsUHg7Mu1"
292,RT @kristapley: Spotlight vs. The Revenant the likely best picture battle now. Spotlight came back strong. Six nominations.
293,"Best Picture
The Big Short
Bridge of Spies
Brooklyn
Mad Max: Fury Road
The Martian
The Revenant
Room
Spotlight 
#OscarNoms"
294,"Best Directing:
The Big Short
Mad Max: Fury Road
The Revenant
Room
Spotlight 
#OscarNoms"
295,"Original Screenplay:
Bridge of Spies
Ex Machina
Inside Out
Spotlight
Straight Outta Compton #OscarNoms"
296,RT @gkilday: Rachel McAdams doing honors introducing Spotlight's Tom McCarthy: I'm proud to be part of a film that literally gives voice to…
297,Santa Barbara Film Fest: 'Spotlight' Honorees Argue That Movies Can Make a Difference https://t.co/lRypz7GGOw https://t.co/CeNTutgzdu
298,"#SAGAwards: 'Spotlight' victory confirms we have an Oscar race, folks! https://t.co/I492FAHM0S https://t.co/nArH4pTm8e"
299,"#SAGAwards Analysis: 'Spotlight' Victory Confirms We Have an #Oscar Race, Folks!  https://t.co/vx4vVSQN5D https://t.co/dMfLEJVz0q"
300,#SAGAwards: Watch the cast of @SpotlightMovie accept Best Ensemble in a Motion Picture https://t.co/xYCCWASK6V https://t.co/o5FDSm5jHG
301,#SAGAwards: @SpotlightMovie wins Outstanding Performance by a Cast in a Motion Picture https://t.co/jhqor2546S https://t.co/yLX2yYpzi9
302,"RT @PamelaDayM: #SAGAwards box office: @SpotlightMovie, final top nominee, has grossed $35M to date."
303,"#SAGAwards: Which film will win Best Cast? Beasts of No Nation, Big Short, Spotlight, Straight Outta Compton, Trumbo https://t.co/lKqMhorQZN"
304,"Inside the making of 'Spotlight', up for Best Cast tonight at the #SAGAwards https://t.co/tEYRoa7sJq https://t.co/jtb86EYACL"
305,"#SAGAwards: 'Trumbo' and 'Beasts' surge, 'Spotlight' actors and Matt Damon left behind  https://t.co/kmfmYGuWl1 https://t.co/hL9dT2lGyg"
306,"RT @CloseUpWithTHR: Sunday: 11AM/10c on @SundanceTV for #CloseUpWithTHR w/ cinematographers of #Spotlight, #SteveJobs + #HatefulEight. http…"
307,Why 'Spotlight' eschewed scenes featuring reporters' personal lives https://t.co/hEtoue5mc4 https://t.co/Finxz3JnIv
308,".@NickJonas Spotlights Frat Hazing in 'Goat': ""People Get Carried Away"" https://t.co/OFRcXyJMhj #Sundance https://t.co/avbzGHMieA"
309,"#CriticsChoice: 'Spotlight' Holds Court, 'Mad Max' Claims Most Prizes (Analysis) https://t.co/7lJFpNBpMR https://t.co/vOwaa7E2iD"
310,#CriticsChoice: @SpotlightMovie wins Best Picture https://t.co/QxxAinBPid https://t.co/mTAi0B94FY
311,RT @chrissgardner: Screenplay awards go to @SpotlightMovie @thebigshort #CriticsChoice
312,"Washington Critics Awards for 2015: Spotlight, Mad Max, Inside Out: D.C. Film Critics Shine a ‘Spotlight’ on A... https://t.co/8jDYRzqgxE"
313,"RT @WAFCA: 2015 WAFCA WINNER:
Best Acting Ensemble: Spotlight
#WAFCA2015 https://t.co/qtN8kNqrjK"
314,"Washington Critics Awards for 2015: Spotlight, Mad Max, Inside Out https://t.co/uSQu9AUTDC #WAFCA15"
315,RT @PerezHilton: #Spotlight wins Best Ensemble Cast at the #CriticsChoice Awards! https://t.co/XiatUZKOrM https://t.co/B5dcPsDpuk
316,"RT @CriticsChoice: If our sources are to be trusted, @SpotlightMovie just took home Best Acting Ensemble! #CriticsChoice"
317,Toronto gal #rachelmccadams picks up #CriticsChoice bling  for #SpotlightMovie
318,"#BytheSea #Heist and more -  I put 'em under the #Spotlight and give you the straight goods. 5,7 and 11 pm @channel12oshawa"
319,#Spotlight wins Outstanding Performance by a Cast in a Motion Picture! Got 4/5 predictions right tonight😄 just wanted Jacob Tremblay to win!
320,I predicted #Spotlight to win tonight
321,The individual SAG nomination for only Rachel McAdams and not the guys from #Spotlight doesn't surprise me. It's how I nominated!
322,About to see the movie that's in the Oscar buzz lead for Best Picture- #Spotlight. I'll let you guys know what I think after!
323,#CriticsChoice winner ACTING ENSEMBLE for film goes to #Spotlight https://t.co/tpiSpuiDv6
324,Congrats @SpotlightMovie  @PixarInsideOut  &amp; @MadMaxMovie director George Miller for earning NC Film Critics Awards https://t.co/9B4mGAkFri
325,And so. #Spotlight. And it was a good night &amp; good show. #criticschoice #newsworks https://t.co/Cb7ApplvaQ
326,Spotlight wins Best Acting Ensemble #criticschoice awards. Rachel McAdams. https://t.co/4HYjCx1loH
327,"To see if #TheRevenant can hold off #Spotlight for the Oscar, watch #CriticsVhoice Awards next Sunday night on A &amp; E. #whyy #GoldenGlobes"
328,"Well, well, the Globes got the director call right. Now, will they split the picture/director &amp; go with #Spotlight #GoldenGlobes"
329,RT @Variety: London Film Festival Turns Spotlight on Gender Equality http://t.co/8rzblCBD6Y
330,Reality of Awards Season and your personal opinions. MAD MAX won as many Globes as it deserved. (Zero) Spotlight deserved a LOT more (Zero)
331,@ErickWeber @SpotlightMovie See you at @CriticsChoice ?
332,"@ErickWeber Where is @SpotlightMovie, then?"
333,"@mcogdill Technically, MAX is amazing. I don't have an ounce of care for the story. So after a while, it exhausts. @SpotlightMovie also my 1"
334,"Wait, no one from @SpotlightMovie got a Globe acting nod today? LOLOLOLOLOLOLOLOLOLOLOLOLOLOLOL"
335,"This year's Best Supporting Actor category could be (nay, should be) five cast members from @SpotlightMovie. Who do you leave out?"
336,Awards Blend: @SpotlightMovie's Huge Weekend Makes It The One To Beat - CINEMABLEND https://t.co/YwtpIj3KS3 via @cinemablend
337,"@KevinMcCarthyTV Spotlight, Brooklyn, The Martian. Then, the rest jockey for position."
338,"Watching @MartianMovie with Michele. My third time. Spotlight is the year's best movie, but I'm telling you, this can win Best Picture."
339,@JoeyMagidson @SpotlightMovie Can't argue
340,"@MartianMovie to COMEDY is smart and strategic. Stays out of the way of @SpotlightMovie, and Fox's own REVENANT. https://t.co/Xh9dW89VIL"
341,YAY #Spotlight!!!! @SAGawards @sagaftraFOUND
342,"@actingjoe Depends on how u look at it! Loved Ex Machina, Inside Out, Mission 5, Spotlight, Room, Sicario, Love &amp; Mercy, Steve Jobs, etc!"
343,WATCH my #TIFF reviews for #TheMartian #TheDanishGirl #Spotlight &amp; #Truth HERE: http://t.co/FLyLJCGh6O http://t.co/qB1M13UBJY
344,@GCMcCannMovies Definitely for Blanchett! Spotlight is the better movie!
345,"REVIEW: #Spotlight is the better #TIFF journalism movie, but REDFORD &amp; especially BLANCHETT shine in riveting #TRUTH http://t.co/zryoloe4fe"
346,RT @briandarcyjames: @MovieMantz @SpotlightMovie Thanks Scott! Unforgettable night. What a thrill and how great to see you on the carpet be…
347,"@dongjoohwang @aliciamalone He's always Oscar-worthy, especially in @SpotlightMovie"
348,"SO PROUD of our friend @briandarcyjames, who gives a superb, game-changing performance in @SpotlightMovie ##TIFF http://t.co/8M6GucGQ4J"
349,"RT @SpotlightMovie: ""Brilliant! An epic masterpiece!"" See @SpotlightMovie when it hits select theaters November 6. #TIFF15 http://t.co/tVNP…"
350,WATCH my #TELLURIDE report for @accesshollywood w/ #SpotlightMovie #Room #Carol &amp; more HERE: http://t.co/3UfzoINxVm http://t.co/IRlVfSpIr2
351,"My #Telluride so far: @SpotlightMovie shines bright, @SteveJobsFilm is exhilarating, @CarolTheMovie is gorgeous, Cocksucker Blues sucked!"
352,"@FriarrTuck You're referring to State of Play! I liked that movie, Spotlight is better!"
353,WATCH my @SpotlightMovie #Telluride REVIEW w/ #MichaelKeaton #MarkRuffalo &amp; @briandarcyjames: http://t.co/0HDYudycnO http://t.co/RvFrStJ7zx
354,REVIEW: @SpotlightMovie is brilliant &amp; riveting! Best about journalism since All The President's Men! #Telluride http://t.co/uWpRahqG3q
355,EXCITED to be attending my 1st TELLURIDE FILM FEST! Can't wait to see #SteveJobs #BlackMass #Carol #Spotlight #Room &amp; MORE! #Telluride
356,Turner Classic Movies Partners With Women In Film To Spotlight Gender Inequality In Film Industry: http://t.co/d8QEm5AzZ4
357,RT @aliciamalone: Brand new episode of #AMCiIndieSpotlight is here with these fine gents: @superherohq &amp; @MovieMantz! #indiefilmsFTW http:/…
358,RT @Amirosie: my departure haha but hey I'll take it. Today's new #AMCiIndieSpotlight with @aliciamalone @MovieMantz &amp; @JimmytotheO http://…
359,RT @aliciamalone: AMC Independent family photo. New #AMCiIndieSpotlight episode is here with amirosie @moviemantz… https://t.co/edrdeDqhao
360,CHEERS to @Amirosie &amp; @aliciamalone for keeping the indie movie spirit alive w/ #AMCiIndieSpotlight! WATCH it HERE: https://t.co/rUnYhNM3Qz
361,"Movie B.S. with Bayer and Snider, Episode 285: ‘Spotlight,’ ‘The 33,’ ‘My All-American,’ ‘Love the Coopers’ https://t.co/Lc84j6YFjR"
362,RT @CriticsChoice: #CriticsChoice Best Editing: @thebigshort @madmaxmovie @MartianMovie @RevenantMovie @SpotlightMovie https://t.co/6NKIwPJ…
363,D.C. Film Critics Shine a 'Spotlight' on Award Winners: https://t.co/sXtmwQdxpJ #WAFCA2015 #Oscars #GoldenGlobes
364,New Full Content Parental Review:  Spotlight (https://t.co/xKlITLp0vT) #SpotlightMovie **PLEASE SHARE THIS** https://t.co/veC2muGCHb
365,"OSCAR FILMING LOCATIONS
Visit ""Spotlight""
#MovieTripTV #Spotlight #Oscars https://t.co/sXkBvDCjnM"
366,"OSCAR FILMING LOCATIONS
Visit ""Spotlight""
#MovieTripTV #Spotlight #Oscars https://t.co/fjR56w1vhY"
367,"RT @MovieTripTV: We saw @SpotlightMovie &amp; loved Boston! They shot on location @fenwaypark, @BostonGlobe Offices, &amp; the Public Library https…"
368,"RT @AwardsDaily: Best Picture - The Big Short, Bridge of Spies, Brooklyn, Mad Max, The Martian, The Revenant, Room, Spotlight (only 8 nomin…"
369,"In which I take on Spectre, Brooklyn, Miss You Already and Spotlight. Pfew! https://t.co/cqGjIm1a4y"
370,Spotlight shines with love for great journalism and great acting. (Two of my favorite things!)  https://t.co/n7lM3uBr7W
371,"My Top 10 of 2015:
#ExMachina 
#Spotlight 
#StarWars
#TheDanishGirl 
#Room
#MadMaxFuryRoad 
#TheGift 
#Brooklyn 
#Carol 
#TheWalk 
@FOX2now"
372,Winners - 2015 St. Louis Film Critics Awards https://t.co/EzXp1YYwcw via @fox2now @Spotlight #Spotlight #LeonardoDiCaprio #BrieLarson
373,#Spotlight #Sicario #Carol #Trainwreck #Compton #Martian #Trumbo #BigShort #SteveJobs #BridgeofSpies amongst #WGA screenplay noms @WGAWest
374,"""Mockingjay 2"" for the birds? ""Spotlight"" in focus? ""Secret in Their Eyes"" unsightly? Popcorn Bag reviews! #fox4kc https://t.co/Oyh0kCIR9C"
375,"Best Spprtng Actor: Christian Bale, Tom Hardy (Revenant), Mark Ruffalo (Spotlight), Mark Rylance, Sylvester Stallone (CREED)"
376,I voted @MadMaxMovie but @SpotlightMovie was REALLY good! https://t.co/hQer7RyogR
377,Good to see @SpotlightMovie win Best Ensemble. Better than Rachel McAdams thanked the real journalists at the #bostonglobe #CriticsChoice
378,You were right @djcrofford @SpotlightMovie made it in my Top 5! https://t.co/uPNKqptael
379,"BTW: it's been 80 years since film won Best Picture without winning anything else at the #Oscars. (""Mutiny on the Bounty"", 1935). #Spotlight"
380,"Just putting this out there: ""Spotlight"" has a legit chance of ONLY winning Best Picture at the #Oscars. https://t.co/HfaFyB1j3Q"
381,"This time 2 weeks ago, ""Spotlight"" winning @SAGawards Ensemble was a lock. But ""The Big Short"" and ""Compton"" have been building momentum."
382,"""Carol"", ""Spotlight"", ""The Big Short"" got shut out. ""The Revenant"" is a surprising new frontrunner. #GoldenGlobes"
383,"#GoldenGlobes: ""Spotlight"" will win Drama, Director (Tom McCarthy) and Screenplay. ""Big Short"" will win Comedy. ""Inside Out"" for Animated."
384,"My #GoldenGlobes Picks: ""Spotlight"", ""Big Short"", McCarthy, DiCaprio, Larson, Bale, Lawrence, Stallone, Winslet, ""Inside Out"", ""See U Again"""
385,"""Hungering"" for this week's ""Buttery Popcorn Report""? We Talk ""HG:M2"", ""The Night Before"", ""Room"" and ""Spotlight"": https://t.co/fvNCJEdGo1"
386,"It's ""The Night Before"" my @Fly923 segment at 7:10. We've got ""Room"" to ""Spotlight"" J-Law's ""Mockingjay Pt. 2"". https://t.co/Wumi97Gtlh"
387,"#TBT with Brian d'Arcy James following performance as ""Shrek"" on Broadway '09. See him in #Spotlight this weekend. https://t.co/67ITuJE33X"
388,"A legit Best Picture contender? My ""Spotlight"" review: https://t.co/dM4vejkJEp https://t.co/7UtaXjVq5h"
389,"A top-notch cast headlines ""Spotlight"". My review: https://t.co/wCan3I3iiI https://t.co/nGc8RZEg6s"
390,"Heading to ""Saturday Night Sneak"" @FilmColumbia. Been predicting ""Spotlight"", which will be great. If it's ""Sisters"" there may be a riot."
391,"@FilmColumbia My guess is: ""Spotlight""! #FilmColumbiaSneakPeek"
392,".@njmatt18 My favorite 2015 film was Room, but of the films nominated, I'd pick Spotlight, which still has a good shot. @TalkingPixOD"
393,"@BilgeEbiri In terms of direct impact, it's neck and neck with Spotlight; what big guns!"
394,#Spotlight tackles the dark side of tribalism with a clarity rarely achieved anywhere. https://t.co/aK310FTk4x via @WordAndFilm
395,"My two cents on 'Spotlight,' my favorite journalism film since All the President's Men: https://t.co/aK310FTk4x via @WordAndFilm"
396,RT @DavidPoland: And @MichaelKeaton tells the story that Spotlight needs to be told in order to win Best Picture… from the heart.
397,RT @TomiLaffly: Keaton isn't better in Spotlight than he is in Birdman. Keaton is great in both.
398,"RT @ThePlaylist: 'Carol,' 'Beasts Of No Nation,' &amp; 'Spotlight' Lead 2016 Film Independent Spirit Award Nominations https://t.co/SnbuzMNGgN"
399,#SpotlightMovie video review on Cinema Seen for @RogersTVDurham. https://t.co/8E7irlNCbD
400,"""Spotlight"" receives Critics' Choice Seal of Distinction from the Broadcast Film Critics Association #criticschoice"
401,@rachel_is_here Spotlight 2!
402,@filmfest_ca @normwilner In all seriousness Crimson Peak or Spotlight would be good choices to highlight Toronto's industry.
403,We may hear similar sentiment if Spotlight wins Best Picture at the Academy Awards. https://t.co/ZLH4QURVrB
404,Is accurately stating historical facts badmouthing? Nope. Here is my review of Spotlight: https://t.co/jqfUay5I5o https://t.co/hyEEnmbUq5
405,Agree. Here is my review of Spotlight: https://t.co/jqfUay5I5o https://t.co/ohHxw1Pg8a
406,Thanks. Here is my review of Spotlight: https://t.co/jqfUay5I5o https://t.co/LYdNyUDaZV
407,"I'm pulling for Ian McKellen, Kristen Stewart, Straight Outta Compton, Brooklyn, and Spotlight. https://t.co/gY9jIBSUvK"
408,"Tonight on @AETV at 7p CST, my critic's group the BFCA announces this year's @CriticsChoice awards! Let's go Brooklyn &amp; Spotlight!"
409,RT @_carltheintern: The 2015 Best Films as heard on @MaxOnMovies pt2: 5 #TheMartian 4 #CloudsofSilsMaria 3 #SpotlightMovie 2 #InsideOut 1 @…
410,"Catholic priest suspended for riding a hoverboard during mass...yet for decades...well, here's my 'Spotlight' review https://t.co/jqfUay5I5o"
411,RT @AwardsCircuit: St. Louis Film Critics Winners - 'Spotlight' is the Best and 'Fantastic Four' is the Worst - https://t.co/CKSlkp2aNN htt…
412,I like Spotlight - but I voted Inside Out  https://t.co/QBdV6IucmP
413,"Spotlight is great, but I voted Ridley Scott for The Martian  https://t.co/Qmx454AEKt"
414,"https://t.co/GooUkSF8wy Reviews of In the Heart of the Sea, Spotlight, He Named Me Malala, An Unfinished Life, and People, Places, Things."
415,Here is my review of Spotlight https://t.co/jqfUay5I5o
416,"Today on the movie show: your chance to win Trainwreck, plus passes to see Brooklyn, Spotlight, and the Hunger Games: Mockingjay Part 2."
417,RT @mavericksmovies: Open Road has really stepped up Spotlight campaigning with a newly focused narrative: https://t.co/RJFHfqXJEH
418,"The 2015 Best Original Screenplay is.... #Spotlight 

#KCFCC"
419,RT @cluedj: ‘#Spotlight’ Named Best #Film of 2015 by Boston Society of Film Critics: Pic also won… https://t.co/D0lKgZyzYg
420,"Just announced: @UniversalPics announces 2/23 release of @SpotlightMovie on Digital HD, Blu-ray and DVD. See it before the #Oscars!"
421,"RT @CNNent: ""This is for every Flint, Michigan...this is for the powerless"" - Michael Keaton accepting #sagawards for ""Spotlight"" cast"
422,Today on #ShireensSpotlight the rustically chic #BurlockCoast @RitzCarlton #FortLauderdale https://t.co/mPM6Y475st🍴 https://t.co/wbdSAusZS7
423,Tomorrow on #ShireensSpotlight the delicious #BurlockCoast inside @RitzCarlton #FortLauderdale @decodrive ✨🍴🍷 #RC https://t.co/rhW9X754We
424,#tbt my fav place at @HardRockHolly #Kuro #ShireensSpotlight outfit by @korebuyer @decodrive https://t.co/SdRgNq0gGz
425,"RT @patrickstoner: Well, well, the Globes got the director call right. Now, will they split the picture/director &amp; go with #Spotlight #Gold…"
426,"It's a day early, but here's my last #Spotlight of the year.. w/ Oltremare @AmaraCayResort https://t.co/mPM6Y4oGR3 🍴 https://t.co/7f2rd0iols"
427,A day early! Tomorrow on #ShireensSpotlight the amazing restaurant inside @AmaraCayResort #Oltremare @decodrive 😋 https://t.co/INaPEU3Djh
428,"RT @JONeillMiami: thank you @shireensandoval @decodrive for sharing your experience! 
Shireen’s Spotlight: Barton G. The Restaurant https:/…"
429,Today on #ShireensSpotlight the wonderfully whimsical @Barton_G https://t.co/mPM6Y4oGR3 🍴 @decodrive @wsvn #TGIF https://t.co/Xp7pqtZtyE
430,"Cool, creative and culinary perfection 🍴🍹 @Barton_G's new menu items tomorrow on #ShireensSpotlight @decodrive https://t.co/9jvqVGWGGx"
431,RT @SoBeLocalMiami: Shireen’s Spotlight: La Moderna Miami @LaModernaMiami @ShireenSandoval #MiamiBeach https://t.co/FRiqwpLHnJ
432,Later this week on #ShireensSpotlight the musings &amp; new menu items of @Barton_G @decodrive cheers! @lmartinez7 ✨ https://t.co/vg3jtimyTD
433,RT @aarill1: Check out Shireen’s Spotlight: @LaModernaMiami https://t.co/KbkpKeMg48 @shireensandoval #MiamiBeach #Italian #Restaurant #Craf…
434,RT @obrmarketing: Shireen’s Spotlight: La Moderna Miami @ShireenSandoval @LaModernaMiami #Innovative #Italian #Cuisine #Cocktails https://t…
435,Today on #ShireensSpotlight the warm &amp; fabulous @LaModernaMiami https://t.co/mPM6Y4oGR3 @decodrive @wsvn 🍴 https://t.co/LZ2i4xIRIm
436,RT @bigge3021: My @ItsJustMovies review of #Spotlight - https://t.co/mry5nvct0l @ShireenSandoval https://t.co/jr1QUYo4sI
437,The warm and fabulous @LaModernaMiami this Friday on #ShireensSpotlight cheers! @decodrive ✨🍴🍷 https://t.co/vGZaqpA0NI
438,ICYMI - SAG Winners: 'Spotlight' Prevails with Idris Elba Making History as a Non-Oscar Nominee https://t.co/qgJbVRPNR6 #SAG #SAGAwards2016
439,SAG Winners: 'Spotlight' Prevails with Idris Elba Making History as a Non-Oscar Nominee - https://t.co/qgJbVRycsw https://t.co/vuxW0Ib4TS
440,Casts of 'Straight Outta Compton' and 'Spotlight' to Present at SAG Awards - https://t.co/pF7JoGRh7x https://t.co/AYphEYd7HI
441,"RT @MikeRezendes: Check out this terrific, unaurhorized poster for #SpotlightMovie. https://t.co/tGqFfVOLdN"
442,Fantastic Film! A front runner for Oscars RT @TIME: National Society of Film Critics names 'Spotlight' as best pic https://t.co/YOnIxK7gjB
443,RT @IGN: The Big Short upsets The Revenant &amp; Spotlight's shoo-in Oscar hopes with Producers Guild win https://t.co/KmsMMu5slE https://t.co/…
444,"RT @CriticsChoice: If our sources are to be trusted, @SpotlightMovie just took home Best Acting Ensemble! #CriticsChoice"
445,"@John_Kevinson Legend, Spotlight and The Martian are among the best movies out there right now. Spotlight is pretty heavy duty"
446,Talking #LoveTheCoopers and #SpotlightMovie ... please listen in! https://t.co/AVzPtDTeVE
447,AUDIO reviews of #SpotlightMovie #LoveTheCoopers w @radioTomBarnard on @KQRadio  Brought to you by @BBlaw (12:30 in) https://t.co/TEhHLbfXsV
448,Talking @ATXFilmCritics awards w/ @LightsCameraAus in today's @TWCNewsAustin #CinemaSpotlight https://t.co/HzCA3gViFK
449,"@joshbrunsting ...But neither of the Eastwoods have the low or high regard that ""Cobbler""/""Spotlight"" have."
450,Ben Bradlee Sr./Jr. don’t resemble each other or their actors-but Jason Robards/John Slattery? Dad &amp; son. #Spotlight https://t.co/lqwm9tpzJk
451,"Looking forward to moderating a #Spotlight Q&amp;A tonight; the movie’s a masterpiece, one of the best of the year. https://t.co/ye76VBzQe9"
452,"@ShredStationCT ""Spotlight"" has my vote."
453,"Strong filmmaking, smart performances in investigative-reporting saga Spotlight at #Telluride. Makes me proud to be a journalist."
454,"RT @maddiewhittle: Movie Takes

Carol 😍
Brooklyn ☺️
Spotlight 😊
Joy 😒😏😀
Big Short 😎
Revenant 😬😴
Hateful Eight 😆😳😷"
455,"@Brian_Tallerico @RussellHFilm It's a weak-ass category this year, especially if the Spotlight/Big Short folks go supporting."
456,Usually not a good thing to hear back from people you've written about -- except when it's a class act like @MichaelKeaton. #Spotlight
457,"I saw it in theaters, and loved it. But have/will late screeners hurt 'Spotlight' with some awards groups? Probably."
458,"@scottrenshaw @Glenn__Kenny Am hoping that torn between good priest in ""Brooklyn,"" evil priests in ""Spotlight,"" Bill Donohue explodes."
459,"Want to know what a perfect, four-star movie looks like? Take a look at 'Spotlight' https://t.co/8NV6kwTJGq #SpotlightMovie"
