MEDIUM,CATEGORY,NOMINEE,PERSON_FLAG,RELATED_FILM_SHOW,TWITTER_SCREEN_NAME,MOVIE_RELEASE_DATE,OFFICIAL_MOVIE_HASTAG,ACTOR_BIRTHDATE
FILM,Best Original Song,See You Again ,0,Furious 7,,4/3/2015,,
FILM,Best Original Song,Simple Song No. 3,0,Youth,,12/4/2015,,
FILM,Best Original Song,Writing’s on the Wall,0,Spectre,,11/6/2015,,
FILM,Best Animated Feature Film,Anomalisa,0,Anomalisa,@Anomalisamovie,12/30/2015,,
FILM,Best Animated Feature Film,The Good Dinosaur,0,The Good Dinosaur,@TheGoodDinosaur,11/25/2015,,
FILM,Best Animated Feature Film,Inside Out,0,Inside Out,@PixarInsideOut,6/19/2015,,
FILM,Best Animated Feature Film,The Peanuts Movie,0,The Peanuts Movie,@PeanutsMovie,11/6/2015,,
FILM,Best Animated Feature Film,Shaun the Sheep Movie,0,Shaun the Sheep Movie,@shaunthesheep,8/5/2015,,
FILM,Best Motion Picture – Foreign Language,The Brand New Testament,0,The Brand New Testament,None,5/17/2015,,
FILM,Best Motion Picture – Foreign Language,The Club,0,The Club,None,2/5/2016,,
FILM,Best Motion Picture – Foreign Language,The Fencer,0,The Fencer,@TheFencerMovie,3/13/2015,,
FILM,Best Motion Picture – Foreign Language,Mustang,0,Mustang,None,11/20/2015,,
FILM,Best Motion Picture – Foreign Language,Son of Saul,0,Son of Saul,@sonofsaulfilm,12/18/2015,,
TV,Best TV Series – Drama,Empire,0,Empire,@EmpireFOX,,,
TV,Best TV Series – Drama,Game of Thrones,0,Game of Thrones,@GameofThrones,,,
TV,Best TV Series – Drama,Mr. Robot,0,Mr. Robot,@whoismrrobot,,,
TV,Best TV Series – Drama,Narcos,0,Narcos,@NarcosNetflix,,,
TV,Best TV Series – Drama,Outlander,0,Outlander,@Outlander_Starz,,,
TV,Best TV Series – Comedy,Casual,0,Casual,@CasualOnHulu,,,
TV,Best TV Series – Comedy,Mozart in the Jungle,0,Mozart in the Jungle,@MITJAmazon,,,
TV,Best TV Series – Comedy,Orange Is the New Black,0,Orange Is the New Black,@OINTB,,,
TV,Best TV Series – Comedy,Silicon Valley,0,Silicon Valley,@SiliconHBO,,,
TV,Best TV Series – Comedy,Transparent,0,Transparent,@transparent_tv,,,
TV,Best TV Series – Comedy,Veep,0,Veep,@VeepHBO,,,
TV,Best TV Movie or Limited-Series,American Crime,0,American Crime,@AmericanCrimeTV,,,
TV,Best TV Movie or Limited-Series,American Horror Story: Hotel,0,American Horror Story: Hotel,@AHSFX,,,
TV,Best TV Movie or Limited-Series,Fargo,0,Fargo,@FargoFX,,,
TV,Best TV Movie or Limited-Series,Flesh and Bone,0,Flesh and Bone,@FleshAndBoneSTZ,,,
TV,Best TV Movie or Limited-Series,Wolf Hall,0,Wolf Hall,@wolfhalldrama,,,
TV,Best Actor in a TV Series – Drama,Jon Hamm,1,Mad Men,,,,
TV,Best Actor in a TV Series – Drama,Rami Malek,1,Mr. Robot,ItsRamiMalek,,,
TV,Best Actor in a TV Series – Drama,Wagner Moura,1,Narcos,,,,
TV,Best Actor in a TV Series – Drama,Bob Odenkirk,1,Better Call Saul,mrbobodenkirk,,,
TV,Best Actor in a TV Series – Drama,Liev Schreiber,1,Ray Donovan,LievSchreiber,,,
TV,Best Actress in a TV Series – Drama,Caitriona Balfe,1,Outlander,caitrionambalfe,,,
TV,Best Actress in a TV Series – Drama,Viola Davis,1,How to Get Away With Murder,violadavis,,,
TV,Best Actress in a TV Series – Drama,Eva Green,1,Penny Dreadful,,,,
TV,Best Actress in a TV Series – Drama,Taraji P. Henson,1,Empire,TherealTaraji,,,
TV,Best Actress in a TV Series – Drama,Robin Wright,1,House of Cards,realrobinwright,,,
TV,Best Actor in a TV Series – Comedy,Aziz Ansari,1,Master of None,azizansari,,,
TV,Best Actor in a TV Series – Comedy,Gael Garcia Bernal,1,Mozart in the Jungle,,,,
TV,Best Actor in a TV Series – Comedy,Rob Lowe,1,The Grinder,RobLowe,,,
TV,Best Actor in a TV Series – Comedy,Patrick Stewart,1,Blunt Talk,SirPatStew,,,
TV,Best Actor in a TV Series – Comedy,Jeffrey Tambor,1,Transparent,jeffreytambor,,,
TV,Best Actress in a TV Series – Comedy,Rachel Bloom,1,Crazy Ex Girlfriend,Racheldoesstuff,,,
