"","rank","PRE

MALE","PRE

MALE COUNT","PRE

FEMALE","PRE

FEMALE COUNT","DURING

MALE","DURING

MALE COUNT","DURING

FEMALE","DURING

FEMALE COUNT","POST

MALE","POST

MALE COUNT","POST

FEMALE","POST

FEMALE COUNT"
"1",1,"RT",165,"RT",156,"RT",27,"RT",66,"RT",191,"RT",204
"2",2,"I",46,"I",122,"#GoldenGlobes",18,"I",46,"I",97,"I",120
"3",3,"The",32,"#AmericanCrime",49,"I",16,"#GoldenGlobes",33,"@igorvolsky:",60,"&amp;",49
"4",4,"-",19,"&amp;",48,"The",11,"???",33,"The",31,"#AmericanCrime",47
"5",5,"via",19,"Thank",34,"David",8,"Thank",23,"Thanks",26,"The",32
